Project Name,Id,Developer,Registry,Methodology,Sector,Country,Project Status,Crediting Period Start,Crediting Period End,Annual Est. Units,Total Issued Units,Total Retired Units,Total Available Units
"Carbono Paja Perdida","4","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,97199,82618,14581
"Carbono Nueva Esperanza","43","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,52601,44712,7889
"Carbono Reforestadora El Guásimo","49","Reforestadora el Gúasimo SAS","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,438683,287008,151675
"CARBONO SANTA INES","97","AGROINDUSTRIAS SANTA INES S.A.S. - AGROSI S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,59872,0,59872
"Programa de Compensación de Emisiones  Cipreses de Colombia S.A.","75","Cipreses de Colombia S.A","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,458425,532263,-73838
"Reforestación Comercial en Meta","7","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,482250,409914,72336
"Carbono Rancho Victoria","180","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Colombia",Approved,,,0,217707,0,217707
"Alta Tapajos REDD+ Project","132","Indigenous Carbon LLC","Cercarbono","CCB - M/UT/F-A01: Methodology To Implement GHG Removal Projects Through Reforestation, Forest Restoration and the Establishment of Woody Crops","Agriculture; forestry and fishing","Brazil",Registered,,,0,0,0,0
"Recuperación de suelos degradados con el uso de incentivos financieros en el centro y oriente de Colombia","14","South Pole Carbon Asset Management","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,453585,364435,89150
"CARBONO OXIGENO PARA TODOS","19","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,196925,167385,29540
"Carvida Duratex","68","Duratex S.A.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,702900,322308,380592
"PROYECTO ASOCIATIVO PROGRAMÁTICO ZONA ANDINA Y COSTA ATLÁNTICA - FCG","29","Forestry Consulting Group S.A.S.","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,1516631,1037105,479526
"Proyecto de mitigación en el sector del uso del suelo cambio en el uso del suelo y silvicultura por remociones debidas al establecimiento de sistemas forestales de Hevea brasiliensis en el municipio de Barrancabermeja, Santander, Colombia.","25","AGI Ambiental","Cercarbono","CDM - AR-ACM0003: Afforestation and reforestation of lands except wetlands","Agriculture; forestry and fishing","Colombia",Approved,,,0,27028,18382,8646
"Proyecto Forestal CO2Cero Reforestadores Vichada-Meta","PCR-CO-ECO-14-003","Participantes de la iniciativa Agrolar SAS, Bazim SAS, Agroforestales Bonanza SAS, Carlos Beltrán, Compadres SAS, El Capricho Vichada SAS, Hernán Trujillo, Inversiones Guardabosques de Colombia SAS, La Fortuna Andrea SAS, Punta de Garzas Inversiones Forestales SAS y Terramax SAS.","BioCarbon Standard","CDM - AR-ACM0003","Forestry","Colombia",De-registered,,,0,0,0,0
"LIGNUS - BONOS DE CARBONO","232","Forestry Consulting Group S.A.S.","Cercarbono","CCB - M/UT/F-A01: Metodología para Implementar Proyectos de Remoción de GEI Mediante Reforestación, Restauración Forestal y Establecimiento de Cultivos Leñosos","Agriculture; forestry and fishing","Colombia",Registered,,,0,0,0,0
"Reforestación de la Cuenca del Río Cauca","BCR-CO-313-14-002","María González","BioCarbon Standard","Cuantificación de la reducción de emisiones de GEI. Actividades que evitan el cambio de uso de la tierra en sabanas naturales","Forestry","Colombia",Rejected,,,0,0,0,0
"ReforesTerra Grouped Project","3166","ReforesTerra – Restauração de Ecossistemas Florestais Ltda","Verra","ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"RE.GREEN ATLANTIC FOREST REFORESTATION/RESTORATION PROJECT","3743","Re.Green Participações S.A.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
"RE.GREEN AMAZON FOREST REFORESTATION/RESTORATION PROJECT","3772","Re.Green Participações S.A.","Verra","AR-ACM0003","Agriculture; forestry and fishing","Brazil",Listed,,,0,0,0,0
